date,Open,High,Low,Close,Volume
2020-05-08 14:56:00,0.7751,0.7921,0.7751,0.787,560852.0
2020-05-08 14:57:00,0.7876,0.7876,0.78,0.7802,300123.0
2020-05-08 14:58:00,0.7802,0.7802,0.7401,0.7403,853735.0
2020-05-08 14:59:00,0.7408,0.7663,0.7389,0.7455,801241.0
2020-05-08 15:00:00,0.75,0.75,0.73,0.74,259610.0
2020-05-08 15:01:00,0.7363,0.7453,0.73,0.7429,332799.0
2020-05-08 15:02:00,0.7437,0.76,0.7436,0.758,232077.0
2020-05-08 15:03:00,0.76,0.76,0.7459,0.748,286195.0
2020-05-08 15:04:00,0.7498,0.76,0.748,0.7591,105880.0
2020-05-08 15:05:00,0.76,0.7602,0.7498,0.7551,127277.0
2020-05-08 15:06:00,0.7589,0.76,0.7498,0.755,167336.0
2020-05-08 15:07:00,0.76,0.79,0.76,0.78,193960.0
2020-05-08 15:08:00,0.7754,0.7875,0.7662,0.77,218786.0
2020-05-08 15:09:00,0.7698,0.779,0.7698,0.779,143959.0
2020-05-08 15:10:00,0.7792,0.7873,0.7772,0.7789,311658.0
2020-05-08 15:11:00,0.7784,0.7798,0.748,0.7482,362125.0
2020-05-08 15:12:00,0.7481,0.7774,0.7481,0.76,198646.0
2020-05-08 15:13:00,0.7753,0.7825,0.7574,0.7664,85382.0
2020-05-08 15:14:00,0.7701,0.7773,0.7634,0.7663,70312.0
2020-05-08 15:15:00,0.7654,0.77,0.7587,0.7645,198467.0
2020-05-08 15:16:00,0.761,0.768,0.761,0.7679,214719.0
2020-05-08 15:17:00,0.7646,0.768,0.7646,0.767,62690.0
2020-05-08 15:18:00,0.7675,0.78,0.767,0.78,293340.0
2020-05-08 15:19:00,0.7803,0.7873,0.7754,0.7794,198679.0
2020-05-08 15:20:00,0.7801,0.7868,0.7767,0.7791,92340.0
2020-05-08 15:21:00,0.7752,0.779,0.7751,0.7765,44773.0
2020-05-08 15:22:00,0.7765,0.779,0.7753,0.779,54785.0
2020-05-08 15:23:00,0.779,0.787,0.7481,0.75,428738.0
2020-05-08 15:24:00,0.7491,0.77,0.7491,0.7699,136725.0
2020-05-08 15:25:00,0.77,0.78,0.76,0.76,58694.0
2020-05-08 15:26:00,0.75,0.76,0.75,0.755,186564.0
2020-05-08 15:27:00,0.7578,0.771,0.7257,0.7301,472674.0
2020-05-08 15:28:00,0.74,0.74,0.7269,0.7301,73250.0
2020-05-08 15:29:00,0.7313,0.7425,0.7312,0.7374,44964.0
2020-05-08 15:30:00,0.738,0.75,0.7363,0.7403,123099.0
2020-05-08 15:31:00,0.7422,0.749,0.74,0.7431,65053.0
2020-05-08 15:32:00,0.74,0.748,0.735,0.74,117499.0
2020-05-08 15:33:00,0.7375,0.7375,0.72,0.72,137021.0
2020-05-08 15:34:00,0.7294,0.7294,0.72,0.7244,100560.0
2020-05-08 15:35:00,0.722,0.73,0.7201,0.7244,98862.0
2020-05-08 15:36:00,0.7245,0.73,0.7245,0.73,108481.0
2020-05-08 15:37:00,0.7295,0.73,0.7294,0.73,144960.0
2020-05-08 15:38:00,0.73,0.7479,0.73,0.7445,97501.0
2020-05-08 15:39:00,0.7432,0.7659,0.7432,0.7508,170430.0
2020-05-08 15:40:00,0.752,0.7648,0.752,0.758,126616.0
2020-05-08 15:41:00,0.7645,0.7645,0.755,0.755,97100.0
2020-05-08 15:42:00,0.755,0.76,0.75,0.7571,145469.0
2020-05-08 15:43:00,0.7552,0.759,0.75,0.7501,54863.0
2020-05-08 15:44:00,0.7502,0.7592,0.7501,0.7529,61867.0
2020-05-08 15:45:00,0.753,0.753,0.751,0.7515,57574.0
2020-05-08 15:46:00,0.7514,0.755,0.7502,0.7538,45912.0
2020-05-08 15:47:00,0.7521,0.77,0.7518,0.765,249142.0
2020-05-08 15:48:00,0.7651,0.7716,0.7585,0.7621,129773.0
2020-05-08 15:49:00,0.7602,0.77,0.76,0.7698,365923.0
2020-05-08 15:50:00,0.7691,0.7877,0.768,0.7793,426546.0
